recordId,stoylProductId,productId,productVersion,updateType,feature,featureDescription,functionalArea,setupEffort,newFunctionalityTitle,newFunctionality,trainingAndTestingImpact,publishDate,tentativeProductionDate,documentationCorrected,documentationCorrectedDate,businessProcesses,processTasks,webServicesName,securityDomains,currentName,formerName,retired,featureJira,Feature Opt-In,Adoption Item(s)
929,PR29,WDAY,29,feature release,Workday 29 - Edit or Deactivate Headcount Plans,"Workday 29 updates the Edit Plan Template task so you can edit certain headcount plan settings, enabling you to accommodate organization changes without having to create a new plan. We also deliver the ability to deactivate a plan so you can better track your active plans.

For details, see: Edit or Deactivate Headcount Plans What's New Video (https://community.workday.com/articles/312440).",Headcount Planning,Automatically Available,Edit Plan Templates,"Workday 29 adds a new Headcount option in the Plan Template prompt on the Edit Plan Template task that you can select to make these changes to your headcount plan templates:
- Edit the Plan Name value to reflect the content more accurately as the plan changes.
- Update the Organizations As Of date to add or remove organizations from your plan.
- Select the Inactive check box for the plan to remove the plan from prompts throughout Workday. Once inactivated, you can only edit the name of the plan.
- Configure the Include All Organizations or Organizations options to update the organizations you want to use on your plan.

We also add these fields on the task that now display additional headcount plan metrics:
- Organizing Dimension Type
- Roll Up Subordinate Headcount
- Statistic Type
- Top Plan Hierarchy",This feature may impact your training materials.,8/5/2017,9/9/2017,,,,,,,,,,FINPLAN-5439,,
930,PR29,WDAY,29,feature release,Workday 29 - Engagement Emails,"Workday 29 provides you with enhanced customization when you compose engagement emails, enabling communications that are more effective, targeted, and sophisticated.

For details, see: Engagement Emails What's New Video (https://community.workday.com/node/311277).",Academic Foundation,Automatically Available,Rich Text Formatting,"Workday 29 delivers a new Rich Text email format on the Create Student Email task, enabling greater customization when you compose your student engagement emails.

You can select the new format from a new Email Format prompt we deliver on the task. We automatically set the format for your existing emails as Plain Text or HTML, but we recommend that you select the Rich Text option when you compose new emails for more compelling communications.

We also deliver an Email Format report field on the Student Email business object (secured to the Public Reporting Items domain) that you can use in custom reports.

Additionally, we now provide an initiating page on the task that provides a more streamlined approach for creating student emails.",This feature may impact your training materials.,8/5/2017,9/9/2017,,,,,,Public Reporting Items (existing),,,,STU-24725,,
931,PR29,WDAY,29,feature release,Workday 29 - Union Eligible Jobs,"Workday 29 continues to enhance your ability to manage union memberships and designate jobs available to union members.

For details, see: Union Eligible Jobs What's New Video (https://community.workday.com/articles/312278).",Unions,Setup Required,Manage Union Membership Subprocess,"Workday 29 now enables you to configure the Manage Union Membership business process as a subprocess on these business processes:
- Add Job
- Change Job
- Edit Position
- End Additional Job
- Hire
- Terminate

When you configure Manage Union Membership as a subprocess on the Hire business process, Workday displays the Pre-Hire field instead of the Worker field.",,8/5/2017,9/9/2017,,,,,,,,,,HREG-10647,,
932,PR29,WDAY,29,feature release,Workday 29 - Procurement Integrations,"Workday 29 now enables you to import purchase order acknowledegments from a supplier in the EDI 855 format.

For details, see: Procurement Integrations What's New Video (https://community.workday.com/node/311765).","Integration

Procurement",Setup Required,EDI 855 Purchase Order Acknowledgement Integration,"With Workday 29, we introduce a new Purchase Order Acknowledgement Inbound integration template, enabling you to import purchase order acknowledgements in the EDI 855 ASC X12 format.",,8/5/2017,9/9/2017,,,,,,,,,,FINPRO-16954,,
933,PR29,WDAY,29,feature release,Workday 29 - Worksheets,"With this update, Workday continues to enhance Worksheets, enabling you to create, update, share, and iterate your data in a familiar spreadsheet environment.","Headcount Planning

Planning

System",Automatically Available,Quick Statistics,"With this update, you can select a range of cells in a workbook, including full columns or rows, and view these formulas in the Quick Statistics area:
- AVERAGE
- COUNT
- COUNTA
- MAX
- MIN
- SUM",This feature may impact your training materials.,8/5/2017,8/5/2017,,,,,,,,,,UXBI-9253,,
934,PR29,WDAY,29,feature release,Workday 29 - Year-End Reporting for Guam,Workday 29 enables you to process year-end tax reporting for workers in Guam in the same system you use for your U.S. workers. This helps you meet year-end payroll compliance requirements and reduces the manual effort and operational cost of outsourcing Guam payroll to a third-party vendor.,USA Payroll,Setup Required,Edit Company State and Local US Tax Reporting,"With this release, we add a Year End tab on the Edit Company State and Local US Tax Reporting task where you can enter this data for Guam, beginning with tax year 2017, to enable processing for Guam workers:
- Employer contact information.
- Employer names.",,8/5/2017,9/9/2017,,,,,,,,,,PAYWDUSA-10275,,
935,PR29,WDAY,29,feature release,Workday 29 - Form I-9 Internal Auditing,"Workday 29 enables you to document Form I-9 internal audits with more clarity. We provide configurable audit reasons and conclusions, the ability to hide or require optional fields, and more consistent terminology.

For details, see: Form I-9 Internal Auditing What's New Video (https://community.workday.com/articles/312964).",Onboarding,Setup Required,"Audit Comments, Conclusions, and Reasons","Workday adds these new grids on the Maintain Form I-9 Settings task, enabling you to configure values for internal audits:
- Form I-9 Internal Audit Conclusions
- Form I-9 Internal Audit Reasons

When you configure those values, we also add these new fields on the Audit Form I-9 business process:
- Internal Audit Comment 
- Internal Audit Conclusion
- Internal Audit Reason",,8/5/2017,9/9/2017,,,,,,,,,,HRCOMPLY-3075,,
936,PR29,WDAY,29,feature release,Workday 29 - Consolidated Billing,"With Workday 29, we enable you to include billing installments and transactions on a single invoice, reducing the number of invoices you manage.

For details, see: Consolidated Billing What's New Video (https://community.workday.com/articles/311302).",Customer Contracts,Automatically Available,Create Customer Invoices for Consolidated Billing,"Workday delivers a new Create Customer Invoices for Consolidated Billing task (secured to the Process: Billing domain) that you can use to consolidate your invoices based on:
- Customer.
- Customer and billing schedule.
- Customer and contract.

You can also consolidate your billable transactions and billable installments on 1 invoice using the new task.",This feature may impact your training materials.,8/5/2017,9/9/2017,,,,Create Customer Invoices for Consolidated Billing,,Process: Billing (existing),,,,FINREV-17948,,
937,PR29,WDAY,29,feature release,Workday 29 - Configure Optional Fields,"Workday 29 enables you to hide or require optional fields, making it easier to customize business processes and tasks.

For details, see: Configure Optional Fields What's New Video (https://community.workday.com/articles/312357).","Pre-Hire Process

System",Setup Required,Hide or Require Job Requisition-Related Fields,"You can now use the new Configure Optional Fields task to hide or require fields on job requisition-related business processes, tasks, and reports using these options:
- Close Job Requisition
- Freeze Job Requisition
- Job Requisition
- Job Requisition Change
- Job Requisition Details for Composite View
- Mass Close Job Requisitions
- View Job Info
- View Job Requisition Detail",,8/5/2017,9/9/2017,,,,,,,,,,HRPRE-556,,
938,PR29,WDAY,29,feature release,Workday 29 - Year-End Reporting for Guam,Workday 29 enables you to process year-end tax reporting for workers in Guam in the same system you use for your U.S. workers. This helps you meet year-end payroll compliance requirements and reduces the manual effort and operational cost of outsourcing Guam payroll to a third-party vendor.,USA Payroll,Setup Required,View US Territory Year End Form Data for Guam,"Beginning with tax year 2017, Workday now enables you to view the US Territory Year End Form Data for Guam (W-2GU) for printing runs.",,8/5/2017,9/9/2017,,,,,,,,,,PAYWDUSA-13469,,
939,PR29,WDAY,29,feature release,Workday 29 - Learning Recommendations,"Workday 29 leverages Workday Learning and HCM data to deliver relevant course and lesson recommendations for each worker, increasing learner engagement.

For details, see: Learning Recommendations What's New Video (https://community.workday.com/node/314686).",Learning Core,Setup Required,Recommended for You Worklet,"With this release, we now populate the Recommended for You worklet on the Learning dashboard with recommendations for relevant learning courses and lessons using data from Workday Learning and Workday HCM. You can configure this worklet on the dashboard using the Maintain Dashboards task.

To enable administrators to exclude specific courses and lessons from the results, we deliver a new Exclude from Recommendations check box (secured to the Setup: Learning Catalog domain) on these tasks:
- Create Course
- Create Lesson
- Edit Course
- Edit Lesson

If there are no recommendations available, we continue to display learning content based on your topic preferences. 

We filter out required learning content from the recommendations, displaying this content in the Required for You worklet only.",,8/5/2017,9/9/2017,,,,,,Setup: Learning Catalog (existing),,,,LRN-4177,,
940,PR29,WDAY,29,feature release,Workday 29 - Configurable Journal Details,"Workday 29 improves payroll commitment and obligation data reporting by enabling you to configure the output in greater detail.

For details, see: Configurable Journal Details What's New Video (https://community.workday.com/articles/311637).","Banking and Settlement

Core Payroll

System",Setup Required,Enable Journal Details,"With this release, you can now post commitments to your finance journals in greater detail by selecting the new Enable Journal Details check box in the Payroll Commitments section on the Edit Tenant Setup - Payroll task.

Once you enable the feature and complete the Create Initial Payroll Commitments task, you can view the journal details in a nonaggregated form, such as individual credit and debit amounts, on the new View Journal tab in the Commitment Accounting Details section on the Payroll Commitment Summary report for these data sets:
- Fringe Benefit Commitment
- Fringe Benefit Obligation
- Payroll Commitments
- Payroll Obligation

When you run subsequent commitment adjustments using the Create Payroll Commitment Adjustments task, you can view the journal details for these data sets:
- Fringe Benefit Commitment Adjustment
- Fringe Benefit Obligation Adjustment
- Payroll Commitment Adjustment
- Payroll Obligation Adjustment",,8/5/2017,9/9/2017,,,,,,,,,,PAYWDACCT-10692,,
941,PR29,WDAY,29,feature release,Workday 29 - Committees,"Workday 29 continues to enhance your ability to manage your committees. We also enable you to give committee memberships and roles to admission counselors and students, and we continue streamlining the user interface.

For details, see: Committees What's New Video (https://community.workday.com/articles/312284).",Organizations and Roles,Automatically Available,External Committee Member History,"Workday 29 provides easy access to external committee member history on these new reports (secured to the Committee Membership: Historical domain):
- View External Committee Member History
- View External Committee Member History By Category

You can use the new reports to view these events for external committee members:
- Edit Government IDs
- Edit Licenses
- Edit Other IDs
- ID Change
- Manage Committee Membership
- Legal Name Change
- Passports and Visa Change
- Personal Information Change
- Preferred Name Change",,8/5/2017,9/9/2017,,,,,,Committee Membership: Historical (existing),,,,HREG-12208,,
942,PR29,WDAY,29,feature release,Workday 29 - Supplier Invoice Requests,"With Workday 29, we continue to enhance supplier invoice request functionality by adding internal line memos and a review step to populate tax codes, tax applicability, and tax recoverability, streamlining supplier invoice processing.

For details, see: Supplier Invoice Requests What's New Video (https://community.workday.com/node/312575).",Supplier Accounts,Automatically Available,Submit Supplier Invoice Request Web Service,We update the Submit Supplier Invoice Request web service to support the new supplier invoice request functionality.,This feature may impact your training materials.,8/5/2017,9/9/2017,,,,,,,,,,FINSA-5377,,
943,PR29,WDAY,29,feature release,Workday 29 - Redesign for User Interface,"Workday redesigns the user interface for a better user experience, enabling you to find information more quickly and expanding branding capabilities for your tenant.

For details, see: Redesign for User Interface What's New Video (https://community.workday.com/articles/313998).",System,Automatically Available,Mobile User Interface,"With this update, we redesign the user interface on mobile to match the desktop user interface. This applies to Workday on:
- Android
- iPad
- iPhone",This feature may impact your training materials.,8/5/2017,9/9/2017,Yes,9/9/2017,,,,,,,,MOBILEIOS-11742,,
944,PR29,WDAY,29,feature release,Workday 29 - Student Staffing Reporting,"Workday 29 enhances reporting and dashboards to support your student appointees and workers, enabling greater insight into your student workforce.

For details, see: Student Staffing Reporting What's New Video (https://community.workday.com/articles/312222).",Staffing,Setup Required,Student Staffing Embedded Worklets,"Workday 29 enables you to provide data on student staffing as embedded worklets on these business processes:
- Add Academic Appointment
- Add Job
- Change Job
- End Academic Appointment
- End Job
- Hire
- Termination
- Update Academic Appointment

You can use the Maintain Step Related Worklets task to now include custom reports with the Student business object on these business processes.",,8/5/2017,9/9/2017,,,,,,,,,,HREG-11986,,
945,PR29,WDAY,29,feature release,Workday 29 - Billing for Award Lines,"With Workday 29, you can create invoices for specific award lines, eliminating the need to create invoices for the full award and providing you with more options during your billing process.

For details, see: Billing for Award Lines What's New Video (https://community.workday.com/articles/312089).",Grants Management,Automatically Available,Create Invoices for Reimbursable Award Transactions Task,We update the Create Invoices for Cost Reimbursable Award Transactions task to save you time and effort. You can now create invoices for multiple billing schedules on the same award.,This feature may impact your training materials.,8/5/2017,9/9/2017,,,,,,,,,,FINGRT-17675,,
946,PR29,WDAY,29,feature release,Workday 29 - Organization Reporting on Operational Transactions,"With Workday 29, we continue to enhance domain security and provide you with better control over financial transaction visibility. This enables users with organization-based roles to view and report on operational transaction information for their organizations only.

For details, see: Organization Reporting on Operational Transactions What's New Video (https://community.workday.com/node/314201).",Cash Management,Setup Required,Organization Security for Gift Reports,"Workday delivers these new reports (secured to the Manager Reports: Endowments domain) that you can use to track and manage gifts that you own:
- Find Gifts by Organization: Displays active and inactive gifts for the organization you select.
- My Responsible Gift Activity: Displays the ledger activity by period for gifts in your organization. 

We also deliver a new Responsible Organization report field on the Gift business object (secured to the Public Reporting Items domain) that returns the responsible organizations for a gift.",,8/5/2017,9/9/2017,,,,,,"Manager Reports: Endowments (existing)
Public Reporting Items (existing)",,,,FINCSH-10274,,
947,PR29,WDAY,29,feature release,Workday 29 - Plan Template Definitions,"Workday 29 enables you to configure your plan workbook behavior on a single definition, eliminating the need to recreate your configuration on each workbook. You can also add sheets to distribute information on each plan workbook.

For details, see: Plan Template Definitions What's New Video (https://community.workday.com/articles/314142).","Headcount Planning

Planning",Setup Required,Template Definition Tasks,"Workday 29 delivers these new tasks (secured to the new Set Up: Plan Template Definition domain) that you can use to configure an existing plan workbook as a template, enabling you to generate as many plan workbooks as needed:
- Copy Plan Template Definition
- Create Plan Template Definition
- Edit Plan Template Definition

We also deliver a new View Plan Template Definition report (secured to the new Set Up: Plan Template Definition domain) that displays details about your configured template.

You can create workbooks that contain multiple sheets, including:
- Financial or headcount plan entry areas.
- Global reference sheets with instructions, assumptions, or summary information.
- Reports as separate sheets that include live report data for context.
- Links from detailed, driver-based plans to the financial or headcount plan of record.
- Protection for cells, rows, columns, or entire sheets from edits made by contributors without administrative access.
- Formulas for cells, rows, or columns.",,8/5/2017,9/9/2017,,,,"Copy Plan Template Definition
Create Plan Template Definition
Edit Plan Template Definition",,Set Up: Plan Template Definition,,,,FINPLAN-6889,,
948,PR29,WDAY,29,feature release,Workday 29 - Union Eligible Jobs,"Workday 29 continues to enhance your ability to manage union memberships and designate jobs available to union members.

For details, see: Union Eligible Jobs What's New Video (https://community.workday.com/articles/312278).",Unions,Automatically Available,Union Membership Navigation,Workday 29 moves the Manage Union Membership task from the Worker History category to a new Union Membership category on the related actions menu of unions and workers.,This feature may impact your training materials.,8/5/2017,8/5/2017,,,,,,,,,,HREG-10728,,
949,PR29,WDAY,29,feature release,Workday 29 - Student Notes,"With Workday 29, you can easily take notes on students that you can organize and secure by functional area to track details that assist in measuring and reporting on student engagement. Workday stores the notes in Student History for easy access.

For details, see: Student Notes What's New Video (https://community.workday.com/articles/313558).",Student Recruiting,Setup Required,Student Recruiting Notes,"Workday 29 delivers new Student Recruiting Notes, enhancing your ability to take notes on student prospects regarding their recruitment records. This new functionality replaces the Engagement Conversations functionality with no disruption to your existing engagement conversations. 

We deliver a new Add Student Recruiting Note task (secured to the new Manage: Student Recruiting Notes domain) that automatically replaces the Add Engagement Conversation task, making the process consistent with new functionality.

You can now view student recruiting notes using the new Find Student Recruiting Notes report (secured to the new Manage: Student Recruiting Notes domain).

We deliver these new report fields on the Student Recruiting Note business object (secured to the Public Reporting Items domain) that you can use in custom reports:
- Conversation Initiated by 
- Public Note
- Recruitment 

Additionally, we deliver a new Student Recruiting and Admissions Notes report data source (RDS) that you can use to report on student notes about admissions and student recruiting.

We also now:
- Automatically convert your reports that use the Engagement Conversations report data source to use the Student Recruiting and Admissions Notes report data source instead.
- Enable you to mark student recruiting notes as Public to make them visible to users who have security access to view notes from this functional area. 

We display student recruiting notes on the Student History profile group of the student profile.

We also deliver the ability to configure the Manage: Edit/Delete Notes domain so that only the person who created the note can edit or delete it.

We retire the:
- Add Engagement Conversation task.
- Find Engagement Conversations report.",,8/5/2017,9/9/2017,,,,Add Student Recruiting Note,,"Manage: Student Recruiting Notes
Public Reporting Items (existing)",,,"Add Engagement Conversation
Find Engagement Conversations",STU-29796,,
950,PR29,WDAY,29,feature release,Workday 29 - Global Search,"With this release, we enhance the display of global search results, making it easier to use Workday more effectively.",System,Automatically Available,Number of Search Results Returned,"With this release, Workday increases the number of results returned by search queries, enabling you to access a more complete catalog of search results.",,8/5/2017,9/9/2017,,,,,,,,,,SYMAN-10763,,
951,PR29,WDAY,29,feature release,Workday 29 - Organization Reporting on Operational Transactions,"With Workday 29, we continue to enhance domain security and provide you with better control over financial transaction visibility. This enables users with organization-based roles to view and report on operational transaction information for their organizations only.

For details, see: Organization Reporting on Operational Transactions What's New Video (https://community.workday.com/node/314201).",Budgets,Setup Required,Create Budget Amendment for Organization Task,"With this update, we deliver a new Create Budget Amendment for Organization task (secured to the Budgets functional area) that you can configure as an initiating action on the Budget Amendment Event business process. Once configured, users with organization-based roles can create budget amendments and view current budget and current spend only for budget amendment lines that contain their organization. The task supports these plan types: 
- Award
- Financial
- Project

Note: When a user doesn't have access to view current budget and spend for a budget amendment line, Workday displays Yes on the Restricted column and displays zeroes on these columns:
- Current Plan Amount
- Current Spend
- Percentage Change
- Proposed Remaining Plan
- Remaining Plan
- Total Plan

Users without access to current budget and spend can only amend budgets using the Amount Change column, and they won't be able to see how their amendment impacts the budget line.",,8/5/2017,9/9/2017,,,,Create Budget Amendment for Organization,Budgets,,,,,FINBUD-14707,,
952,PR29,WDAY,29,feature release,Workday 29 - Custom Validation Testing,"Workday 29 enables you to test and evaluate the performance of custom validations, making it easier to identify necessary corrections and improve the overall performance of your tenant.

Note: You can't evaluate the performance of business process custom validations.","Common Financial Management

System",Automatically Available,Test Validations,"With this release, Workday delivers the new Test Custom Validations report (secured to the Set Up: Custom Validations domain), enabling you to test custom validations by selecting a transaction and the new Test Validations button on the Maintain Custom Validations report.

Note: You can't use this report to test business process custom validations.",This feature may require additional testing and may impact your training materials.,8/5/2017,9/9/2017,Yes,9/9/2017,,,,Set Up: Custom Validations (existing),,,,EFCOMP-264,,
953,PR29,WDAY,29,feature release,Workday 29 - Rank Suppliers on Purchase Items,"With Workday 29, you can rank suppliers for purchase items by priority, making it convenient for buyers to use primary suppliers when creating requisitions for inventory and par replenishment, and switch to secondary suppliers when required. We also enhance the catalog search experience by highlighting catalog items from preferred suppliers, making it easier to find items.

For details, see: Rank Suppliers on Purchase Items What's New Video (https://community.workday.com/articles/312901).","Procurement

Suppliers",Setup Required,Rank Suppliers on Edit Purchase Item,"With this update, we add a new Suppliers tab on the Edit Purchase Items task that enables you to rank your suppliers for sourcing items more efficiently. In the Sourcing Priority column, you can set these sourcing priority ranks for suppliers:
- 1: Primary supplier.
- 2 and greater: Secondary supplier.
- 0: Unranked.

Also on this new tab, you can associate 1 or more supplier catalog items to the purchase item with the same spend category.",,8/5/2017,9/9/2017,,,,,,,,,,FINPRO-25098,,
954,PR29,WDAY,29,feature release,Workday 29 - Grant Begin and End Dates,"With Workday 29, we enhance the accuracy of Workday payroll accounting and commitments by respecting grant begin and end dates when costing payroll result lines.

For details, see: Grant Begin and End Dates What's New Video (https://community.workday.com/articles/312460).","Core Payroll

Grants Management

System",Setup Required,Grant Date Costing Allocation Validation,"When you configure a grant with the Enable Alternative Costing for Grant Begin and End Dates for Awards check box selected on the Edit Tenant Setup - Payroll task, Workday displays a warning message if you assign a grant worktag on these tasks:
- Edit Earning and Employee Deduction Costing Allocation for employee deduction costing allocations.
- Edit Employer Paid Expense Costing Allocation.
- Edit Fringe Benefit Recovery Costing Allocation.",,8/5/2017,9/9/2017,,,,,,,,,,PAYWDACCT-10626,,
955,PR29,WDAY,29,feature release,Workday 29 - Compensation - Miscellaneous Enhancements,,Advanced Compensation,Automatically Available,Organization Fields for Promotions in Merit,"With this update, we enhance the Review Promotions in Merit task by:
- Adding the Compensation Review Organization report field to display the organization that includes the employee in the process.
- Renaming the Organization field to Supervisory Organization.",,8/5/2017,9/9/2017,,,,,,,Supervisory Organization,Organization,,HRCOMPREV-10348,,
956,PR29,WDAY,29,feature release,Workday 29 - Report Administrator Dashboard,"Workday 29 delivers a new Report Administrator dashboard, enabling you to manage custom reports and monitor report performance and usage in 1 place.

For details, see: Report Administrator Dashboard What's New Video (https://community.workday.com/articles/312703).","Common Financial Management

Financial Accounting",Setup Required,Report Administrator Dashboard,"With this update, we deliver a new Report Administrator dashboard that you can enable on the Maintain Dashboards task to display:
- Announcements.
- Menus and key metrics for report administrators.
- Reports and worklets to manage report performance.",,8/5/2017,9/9/2017,,,,,,,,,,FINBI-444,,
957,PR29,WDAY,29,feature release,Workday 29 - Subprocess Definition Selection,"With this update, Workday enables you to select a subprocess definition by its own event initiation date instead of the parent event initiation date. This gives you more control over your business processes and enables you to use Workday more efficiently.

For details, see: Subprocess Definition Selection What's New Video (https://community.workday.com/articles/312470).",System,Setup Required,Web Services for Subprocess Definition Selection,"With this release, Workday introduces these new web services for subprocess definition selection:
-  Get Subprocess Definition Selections
-  Put Subprocess Definition Selection

We secure the new web services to these domains:
- Business Process Administration
- Configuration Set: Business Processes
- Manage: Business Process Definitions",,8/5/2017,9/9/2017,,,,,"Get Subprocess Definition Selections
Put Subprocess Definition Selection","Business Process Administration (existing)
Configuration Set: Business Processes (existing)
Manage: Business Process Definitions (existing)",,,,EFCORE-5642,,
958,PR29,WDAY,29,feature release,Workday 29 - Reporting for Financial Planning,"Workday 29 enhances financial planning reporting capabilities and now enables you to view planning participants and plan consolidations, making it easier to track planning participants and plans during decentralized planning.

For details, see: Reporting for Financial Planning What's New Video (https://community.workday.com/articles/312643).",Budgets,Automatically Available,Plan Consolidation Report,"With this update, we deliver a new Plan Consolidation composite report (secured to the Reports: Manager Financial Budgets domain) that displays consolidated ledger account summaries of your financial and position plans, including any virtual children. The report supports:
- Drill-down capabilities for additional details.
- Outlining.
- Copying to create a custom report.
- Trending by the fiscal schedule or fiscal summary schedule on your parent plan structure.

To set up outlining, you can use the Map Standard Aliases task to configure your ledger account summary organization as the top-level node.",,8/5/2017,9/9/2017,,,,,,Reports: Manager Financial Budgets (existing),,,,FINPLAN-5526,,
959,PR29,WDAY,29,feature release,Workday 29 - Related Worktags on Expenses,"Workday 29 now enables you to configure related worktags on expense items and spend categories, increasing efficiency when you create expense reports and spend authorizations.

For details, see: Related Worktags on Expenses What's New Video (https://community.workday.com/articles/312867).",Expenses,Setup Required,Expense Item Related Worktag Type,Workday now enables you to configure Expense Item as a related worktag type on the Maintain Related Worktag Usage task and configure default values and behaviors for related worktags on expense items.,,8/5/2017,9/9/2017,,,,,,,,,,FINEXP-17275,,
960,PR29,WDAY,29,feature release,Workday 29 - Worker Reporting,"With this update, we continue to increase flexibility for reporting on worker data.

For details, see: Worker Reporting What's New Video (https://community.workday.com/node/311232).",Staffing,Automatically Available,Workers by Role RDS Filter,"We add a My Roles prompt category in the Roles prompt on the Workers by Role report data source (RDS) filter, making it easier to filter reports by your assigned roles on the Workers for HCM Reporting RDS.",This feature may impact your training materials.,8/5/2017,9/9/2017,,,,,,,,,,HRINFRA-451,,
961,PR29,WDAY,29,feature release,Workday 29 - Reversals on Accounting and Operational Journals,"Workday 29 now enables you to generate reversal journals when you change or cancel an approved operational transaction or when you reverse a posted accounting journal, making it easier to comply with regulatory requirements.

For details, see: Reversals on Accounting and Operational Journals What's New Video (https://community.workday.com/articles/312455).","Common Financial Management

Financial Accounting",Setup Required,Always Reverse Accounting and Operational Journals,"We add a new Journal Options section on the Edit Tenant Setup - Financials task that displays these 2 check boxes you can select to automatically reverse journals:
- Always Reverse Accounting Journals
- Always Reverse Operational Journals",,8/5/2017,9/9/2017,,,,,,,,,,FINCORE-13591,,
962,PR29,WDAY,29,feature release,Workday 29 - Automated Billing for Prepaid Awards,"With this update, Workday generates offsetting lines for prepayments on cost-reimbursable customer invoices and displays the remaining prepaid balance for the award, reducing manual input time and opportunity for user error.

For details, see: Automated Billing for Prepaid Awards What's New Video (https://community.workday.com/articles/302895).",Grants Management,Setup Required,Create Billing Schedule for Award Task,"With this update, you can add billing installments to awards with cost reimbursable award lines.

To enable this feature, you must:
- Select the Prepaid and Billing check boxes for at least 1 schedule type on the Maintain Schedule Types task. 
- Select Installment as the Billing Type and Custom as the Billing Method on the Create Billing Schedule for Award task.",,8/5/2017,9/9/2017,,,,,,,,,,FINGRT-13939,,
963,PR29,WDAY,29,feature release,Workday 29 - Worktags on Transaction Web Services,"With Workday 29, we enable automatic related worktags on web services for some supplier accounts and inventory transactions, streamlining data entry on web service submissions.

For details, see: Worktags on Transaction Web Services What's New Video (https://community.workday.com/articles/313729).",Inventory,Automatically Available,Inventory Web Services,"With Workday 29, we update these web services to support related worktags on purchase items and spend categories, improving usability and data accuracy:
- Submit Ad Hoc Put-Away
- Submit Inventory Quick Issue
- Submit Inventory Stock Request",This feature may impact your training materials.,8/5/2017,9/9/2017,,,,,,,,,,FININV-5599,,
964,PR29,WDAY,29,feature release,Workday 29 - Procurement Card Transaction Verification,"Workday 29 improves the procurement card transaction verification process by now enabling high-volume processing and simplifying the user interface for better performance.

For details, see: Procurement Card Transaction Verification What's New Video (https://community.workday.com/node/312588).",Supplier Accounts,Automatically Available,Procurement Card Transaction Verification Web Services,"We update these web services to now support procurement card transaction verification functionality:
- Get Procurement Card Transaction Verifications
- Put Procurement Card Transaction Verification",This feature may impact your training materials.,8/5/2017,9/9/2017,,,,,,,,,,FINSA-462,,
965,PR29,WDAY,29,feature release,Workday 29 - Expenses - Miscellaneous Enhancements,,Expenses,Automatically Available,View Travel Cities Report,"Workday renames the View Travel Cities report to Find Travel Cities and improves performance on the report. 

We deliver a new Travel City Name field and these new prompts you can use to filter the report:
- Country
- Travel Region

We also enable you to create and save custom search filters for better results.",This feature may impact your training materials.,8/5/2017,9/9/2017,,,,,,,Find Travel Cities,View Travel Cities,,FINEXP-19835,,
966,PR29,WDAY,29,feature release,Workday 29 - Referrals,"Workday 29 continues to enhance referral ownership tracking, improving the accuracy of your sourcing process.

For details, see: Referrals What's New Video (https://community.workday.com/node/312540).",Recruiting,Setup Required,Referral Ownership Levels,"With this update, we deliver a new Referral Ownership Level setting on the Edit Tenant Setup - HCM task that you can optionally use to select whether a referring worker owns the:
- Candidate and all their job applications.
- Job application for which they referred the candidate.

We also now display the expiration date for candidate-level ownership on the Referral Details report on the Overview profile group of the:
- Candidate profile.
- Prospect profile.",,8/5/2017,9/9/2017,,,,,,,,,,HRREC-23429,,
967,PR29,WDAY,29,feature release,Workday 29 - Worker Reporting,"With this update, we continue to increase flexibility for reporting on worker data.

For details, see: Worker Reporting What's New Video (https://community.workday.com/node/311232).",Staffing,Automatically Available,Custom Reports Using Indexed Workers RDS,"Workday automatically converts custom reports using the Indexed Workers report data source (RDS) to the Workers for HCM Reporting RDS and these data source filters, improving report performance and flexibility:
- All Academic Workers
- Default Filter",This feature may require additional testing and may impact your training materials.,8/5/2017,9/9/2017,,,,,,,,,,HRINFRA-451,,
968,PR29,WDAY,29,feature release,Workday 29 - External Cash Activities,"With this update, Workday adds new functionality for capturing external cash activities, providing you with additional options when generating cash position reports.

For details, see: External Cash Activities What's New Video (https://community.workday.com/node/313588).",Cash Management,Setup Required,Create External Cash Activity,"With this update, Workday delivers a new Create External Cash Activity task (secured to the new Process: Cash Forecast Reporting domain) that you can use to record external cash activities from third-party systems in Workday.

You can also capture additional cash activities such as rent and controlled disbursements, and you can analyze data on cash position reports by: 
- Bank Account 
- Company 
- Worktag",,8/5/2017,9/9/2017,,,,Create External Cash Activity,,Process: Cash Forecast Reporting,,,,FINCSH-16719,,
